ID;Főváros / megye;Település;Szavazókör;Szavazókör címe;Szélességi fok; Hosszúsági fok
85;BUDAPEST;Budapest II. ker.;66;Budapest, Bem József tér 2, 1027 Hungary;47,512473;19,0383579
86;BUDAPEST;Budapest II. ker.;67;Budapest, Medve u. 5, 1027 Hungary;47,508614;19,03577
87;BUDAPEST;Budapest II. ker.;68;Budapest, Medve u. 5, 1027 Hungary;47,508614;19,03577
88;BUDAPEST;Budapest II. ker.;69;Budapest, Ady Endre u. 3, 1024 Hungary;47,514424;19,029343
89;BUDAPEST;Budapest II. ker.;70;Budapest, Kapás u. 55, 1027 Hungary;47,5111454;19,0336135
90;BUDAPEST;Budapest II. ker.;71;Budapest, Medve u. 5, 1027 Hungary;47,508614;19,03577
91;BUDAPEST;Budapest II. ker.;72;Budapest, Varsányi Irén u. 32, 1027 Hungary;47,5089794;19,0302287
92;BUDAPEST;Budapest II. ker.;73;Budapest, Varsányi Irén u. 32, 1027 Hungary;47,5089794;19,0302287
93;BUDAPEST;Budapest III. ker.;1;Budapest, Árpád Fejedelem útja 60, 1036 Hungary;47,5301485;19,0411196
94;BUDAPEST;Budapest III. ker.;2;Budapest, Árpád Fejedelem útja 60, 1036 Hungary;47,5301485;19,0411196
95;BUDAPEST;Budapest III. ker.;3;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
96;BUDAPEST;Budapest III. ker.;4;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
97;BUDAPEST;Budapest III. ker.;5;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
98;BUDAPEST;Budapest III. ker.;6;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
99;BUDAPEST;Budapest III. ker.;7;Budapest, Kiscelli u. 78-80, 1032 Hungary;47,5385857;19,0335621
100;BUDAPEST;Budapest III. ker.;8;Budapest, Kiscelli u. 78-80, 1032 Hungary;47,5385857;19,0335621
101;BUDAPEST;Budapest III. ker.;9;Budapest, Kiscelli u. 78-80, 1032 Hungary;47,5385857;19,0335621
102;BUDAPEST;Budapest III. ker.;10;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
103;BUDAPEST;Budapest III. ker.;11;Budapest, Bécsi út 96b, 1034 Hungary;47,5339826;19,0346773
104;BUDAPEST;Budapest III. ker.;12;Budapest, Bécsi út 96b, 1034 Hungary;47,5339826;19,0346773
105;BUDAPEST;Budapest III. ker.;13;Budapest, Bécsi út 96b, 1034 Hungary;47,5339826;19,0346773
106;BUDAPEST;Budapest III. ker.;14;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
107;BUDAPEST;Budapest III. ker.;15;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
108;BUDAPEST;Budapest III. ker.;16;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
109;BUDAPEST;Budapest III. ker.;17;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
110;BUDAPEST;Budapest III. ker.;18;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
111;BUDAPEST;Budapest III. ker.;19;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
112;BUDAPEST;Budapest III. ker.;20;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
113;BUDAPEST;Budapest III. ker.;21;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
114;BUDAPEST;Budapest III. ker.;22;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
115;BUDAPEST;Budapest III. ker.;23;Budapest, Ürömi út 2, 1038 Hungary;47,586032;19,0443129
116;BUDAPEST;Budapest III. ker.;24;Budapest, Ürömi út 2, 1038 Hungary;47,586032;19,0443129
117;BUDAPEST;Budapest III. ker.;25;Budapest, Ürömi út 2, 1038 Hungary;47,586032;19,0443129
118;BUDAPEST;Budapest III. ker.;26;Budapest, Dózsa György u. 42, 1038 Hungary;47,5923742;19,0459441
119;BUDAPEST;Budapest III. ker.;27;Budapest, Dózsa György u. 42, 1038 Hungary;47,5923742;19,0459441
120;BUDAPEST;Budapest III. ker.;28;Budapest, Dózsa György u. 42, 1038 Hungary;47,5923742;19,0459441
121;BUDAPEST;Budapest III. ker.;29;Budapest, Templom u. 5, 1038 Hungary;47,6009279;19,0460713
122;BUDAPEST;Budapest III. ker.;30;Budapest, Templom u. 5, 1038 Hungary;47,6009279;19,0460713
123;BUDAPEST;Budapest III. ker.;31;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
124;BUDAPEST;Budapest III. ker.;32;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
125;BUDAPEST;Budapest III. ker.;33;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
126;BUDAPEST;Budapest III. ker.;34;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
127;BUDAPEST;Budapest III. ker.;35;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
128;BUDAPEST;Budapest III. ker.;36;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
129;BUDAPEST;Budapest III. ker.;37;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
130;BUDAPEST;Budapest III. ker.;38;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
131;BUDAPEST;Budapest III. ker.;39;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
132;BUDAPEST;Budapest III. ker.;40;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
133;BUDAPEST;Budapest III. ker.;41;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
134;BUDAPEST;Budapest III. ker.;42;Budapest, Harrer Pál u. 7, 1033 Hungary;47,5431359;19,045087
135;BUDAPEST;Budapest III. ker.;43;Budapest, Harrer Pál u. 7, 1033 Hungary;47,5431359;19,045087
136;BUDAPEST;Budapest III. ker.;44;Budapest, Harrer Pál u. 7, 1033 Hungary;47,5431359;19,045087
137;BUDAPEST;Budapest III. ker.;45;Budapest, Szentendrei út 9, 1035 Hungary;47,5459199;19,043149
138;BUDAPEST;Budapest III. ker.;46;Budapest, Szentendrei út 9, 1035 Hungary;47,5459199;19,043149
139;BUDAPEST;Budapest III. ker.;47;Budapest, Gázgyári ltp., 1031 Hungary;47,5639648;19,0524418
140;BUDAPEST;Budapest III. ker.;48;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
141;BUDAPEST;Budapest III. ker.;49;Budapest, Szél u. 11-13, 1035 Hungary;47,5451383;19,0396387
142;BUDAPEST;Budapest III. ker.;50;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
143;BUDAPEST;Budapest III. ker.;51;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
144;BUDAPEST;Budapest III. ker.;52;Budapest, Vörösvári út 93, 1033 Hungary;47,5462922;19,0333221
145;BUDAPEST;Budapest III. ker.;53;Budapest, Meggyfa u. 14, 1033 Hungary;47,5492062;19,0375134
146;BUDAPEST;Budapest III. ker.;54;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
147;BUDAPEST;Budapest III. ker.;55;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
148;BUDAPEST;Budapest III. ker.;56;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
149;BUDAPEST;Budapest III. ker.;57;Budapest, Szellő u. 9-11, 1035 Hungary;47,5481185;19,0388967
150;BUDAPEST;Budapest III. ker.;58;Budapest, Meggyfa u. 14, 1033 Hungary;47,5492062;19,0375134
151;BUDAPEST;Budapest III. ker.;59;Budapest, Szellő u. 9-11, 1035 Hungary;47,5481185;19,0388967
152;BUDAPEST;Budapest III. ker.;60;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
153;BUDAPEST;Budapest III. ker.;61;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
154;BUDAPEST;Budapest III. ker.;62;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
155;BUDAPEST;Budapest III. ker.;63;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
