választókerület;szavazókör;Fidesz-KDNP;Összefogás;Jobbik;LMP;megjelent;összes választó;Szavazókör címe
k10;sz0129;209;260;60;47;604;796;Zápor utca 90. (Általános Iskola)
k10;sz0130;275;236;64;59;653;878;Zápor utca 90. (Általános Iskola)
k10;sz0131;195;230;55;47;555;771;Váradi utca 15/B. (Általános Iskola)
k10;sz0132;202;235;93;44;601;815;Váradi utca 15/B. (Általános Iskola)
k10;sz0133;159;221;66;40;511;748;Váradi utca 15/B. (Általános Iskola)
k10;sz0134;175;206;72;48;523;812;Váradi utca 15/B. (Általános Iskola)
k10;sz0135;118;117;34;25;304;637;Harrer Pál utca 7. (Általános Iskola)
k10;sz0136;218;281;95;52;693;1032;Harrer Pál utca 7. (Általános Iskola)
k10;sz0137;284;280;74;71;742;1015;Harrer Pál utca 7. (Általános Iskola)
k10;sz0138;239;236;99;34;638;963;Szentendrei út 9. (Alternatív Közgazdasági Gimn.)
k10;sz0139;242;315;80;59;721;1041;Szentendrei út 9. (Alternatív Közgazdasági Gimn.)
k10;sz0140;582;596;213;169;1646;1979;Gázgyári lakótelepi Óvoda
k10;sz0141;199;250;73;44;583;833;Kerék utca 18-20. (Általános Iskola)
k10;sz0142;224;238;74;59;620;871;Szél utca 11-13. (Szakkollégium)
k10;sz0143;232;257;79;40;625;838;Kerék utca 18-20. (Általános Iskola)
k10;sz0144;224;196;61;52;562;778;Kerék utca 18-20. (Általános Iskola)
k10;sz0145;245;210;54;53;600;837;Vörösvári út 93. (Általános Iskola)
k10;sz0146;212;195;60;58;546;774;Meggyfa utca 14. (Óvoda)
k10;sz0147;265;268;68;71;699;928;Kerék utca 18-20. (Általános Iskola)
k10;sz0148;211;277;81;37;631;870;Kerék utca 18-20. (Általános Iskola)
k10;sz0149;216;216;82;40;577;864;Kerék utca 18-20. (Általános Iskola)
k10;sz0150;189;258;90;34;608;930;Szellõ utca 9-11. (Óvoda, Általános Iskola)
k10;sz0151;175;191;89;57;543;818;Meggyfa utca 14. (Óvoda)
k10;sz0152;221;236;61;91;646;825;Szellõ utca 9-11. (Óvoda, Általános Iskola)
k10;sz0153;176;235;87;60;589;885;Szérûskert utca 40. (Általános Iskola)
k10;sz0154;204;258;98;71;663;908;Szérûskert utca 40. (Általános Iskola)
